name,stars_count,forks_count,watchers,pull_requests,primary_language,languages_used,commit_count,created_at,licence
rufus,21443,2185,537,183,C,"['C', 'Makefile', 'C#', 'Shell', 'Assembly', 'Batchfile', 'Python', 'M4', 'sed']",1958.0,2011-11-19T19:12:05Z,GNU General Public License v3.0
react-bootstrap,21425,3466,432,3140,TypeScript,"['TypeScript', 'JavaScript', 'SCSS', 'Shell']",4426.0,2013-12-27T19:06:07Z,MIT License
homebridge,21410,1948,654,373,TypeScript,"['TypeScript', 'JavaScript']",1450.0,2014-12-01T16:37:39Z,Apache License 2.0
dragula,21405,1989,363,189,JavaScript,"['JavaScript', 'HTML', 'CSS', 'Stylus']",366.0,2015-04-13T21:35:38Z,MIT License
bevy,21398,2111,259,3896,Rust,"['Rust', 'Shell', 'GLSL']",3664.0,2020-01-18T21:13:55Z,Apache License 2.0
react-admin,21375,4724,267,4567,TypeScript,"['TypeScript', 'JavaScript', 'Makefile', 'HTML', 'Shell']",15890.0,2016-07-13T07:58:54Z,MIT License
RedisDesktopManager,21370,3221,616,561,C++,"['C++', 'QML', 'Python', 'QMake', 'NSIS', 'JavaScript', 'C', 'Shell', 'CMake', 'Batchfile']",2162.0,2013-08-05T07:51:08Z,Other
Telegram,21360,7183,1179,578,Java,"['Java', 'C++', 'C', 'Assembly', 'Perl', 'Go', 'CMake', 'NASL', 'Objective-C++', 'Python']",472.0,2013-10-25T14:08:10Z,GNU General Public License v2.0
react-motion,21334,1197,285,228,JavaScript,"['JavaScript', 'HTML']",809.0,2015-06-11T07:38:23Z,MIT License
copilot-docs,21331,2362,396,38,,,34.0,2021-10-23T16:07:04Z,Creative Commons Attribution 4.0 International
docker-cheat-sheet,21325,4545,754,168,,,432.0,2014-08-05T20:04:20Z,Creative Commons Attribution 4.0 International
server,21319,3359,562,20048,PHP,"['PHP', 'JavaScript', 'Vue', 'Gherkin', 'SCSS', 'Shell', 'HTML', 'TypeScript', 'CSS', 'Handlebars']",65896.0,2016-06-02T07:44:14Z,GNU Affero General Public License v3.0
editor.js,21316,1663,220,913,TypeScript,"['TypeScript', 'HTML', 'CSS', 'JavaScript']",676.0,2015-11-28T20:56:35Z,Apache License 2.0
lightning,21286,2714,228,8164,Python,"['Python', 'TypeScript', 'Dockerfile', 'Shell', 'Jsonnet', 'HTML', 'Makefile', 'CSS', 'JavaScript']",8591.0,2019-03-31T00:45:57Z,Apache License 2.0
Awesome,21279,2175,707,353,,,523.0,2016-05-30T17:27:35Z,Creative Commons Zero v1.0 Universal
scrollreveal,21278,2183,421,53,JavaScript,['JavaScript'],949.0,2014-01-16T17:37:20Z,
envoy,21266,4089,607,16486,C++,"['C++', 'Starlark', 'Java', 'Python', 'NASL', 'Kotlin', 'Swift', 'Shell', 'Objective-C', 'C']",16829.0,2016-08-08T15:07:24Z,Apache License 2.0
NLP-progress,21261,3546,1273,532,Python,"['Python', 'HTML', 'Ruby']",790.0,2018-06-22T17:43:55Z,MIT License
